epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.583441734,0.429917395,0.871614873,1.00E-04,0.552214146,0.678183019,0.763556778,0.516771853,0.383564293,0.881163776,0.526420474,0.934541106,0.583072901
1,0.775747538,0.636707544,0.753982961,1.00E-04,0.553805828,0.8814978,0.866923332,0.685961008,0.545856714,0.885300457,0.649581671,0.716656148,0.93207711
2,0.823945761,0.702538967,0.723882794,1.00E-04,0.557884276,0.898336411,0.894448638,0.7473557,0.615322232,0.815607846,0.616175771,0.762115121,0.93894583
3,0.852711558,0.744641364,0.699939072,1.00E-04,0.561745882,0.911674082,0.911262095,0.782908797,0.658733606,0.77325511,0.605678082,0.799177706,0.934807897
4,0.872674227,0.775225103,0.678776026,1.00E-04,0.565052211,0.922088206,0.923167586,0.80330193,0.684540391,0.746602237,0.593748868,0.815891504,0.932327509
5,0.886771739,0.797489107,0.659587026,1.00E-04,0.569385111,0.929471612,0.930790782,0.818236053,0.703285456,0.728703737,0.59436518,0.826700211,0.927762747
6,0.89670366,0.813522637,0.641824365,1.00E-04,0.572455406,0.934642792,0.936198235,0.830270946,0.71870625,0.70315671,0.576491058,0.841673315,0.924394488
7,0.904905856,0.826991141,0.624968708,1.00E-04,0.573083103,0.939165771,0.940794706,0.833416581,0.722300112,0.693437517,0.592161834,0.840527594,0.925116241
8,0.911566436,0.83808285,0.608976185,1.00E-04,0.575273693,0.943069339,0.944504321,0.840783775,0.731387436,0.677545309,0.597527087,0.835637569,0.935805023
9,0.916408181,0.846235991,0.593834341,1.00E-04,0.576817393,0.945703983,0.946986914,0.851087213,0.74583745,0.659097612,0.597296774,0.858351707,0.92217505
10,0.92055738,0.853269577,0.579241455,1.00E-04,0.579545856,0.947778821,0.949606955,0.851387322,0.74611634,0.647073269,0.590932071,0.877339363,0.899342656
11,0.924335539,0.859761715,0.565032721,1.00E-04,0.582823753,0.950042129,0.951674163,0.852402031,0.747286141,0.631769001,0.567268372,0.88245827,0.893122554
12,0.928673029,0.867245376,0.550926387,1.00E-04,0.584076703,0.952850401,0.954206467,0.851699531,0.746935546,0.618629038,0.569501102,0.887481868,0.892770052
13,0.930988371,0.871271014,0.5375036,1.00E-04,0.588822603,0.954076767,0.955057621,0.857326508,0.754567504,0.607650518,0.569766223,0.88343513,0.898288012
14,0.933084249,0.874913037,0.524401724,1.00E-04,0.58885026,0.955158353,0.956322432,0.846984744,0.740802169,0.599047542,0.57758832,0.881928205,0.89248848
15,0.934887528,0.878064692,0.511519492,1.00E-04,0.592736959,0.95646733,0.956967056,0.857167423,0.754625618,0.590712309,0.601030648,0.870247662,0.910317719
16,0.934926093,0.878140926,0.499300063,1.00E-04,0.595261455,0.956530392,0.956980288,0.865469277,0.766372323,0.577872634,0.594088078,0.882190466,0.904291868
